2025-12-26 20:23:49.308593 | BLOCKED 10.44.17.247 | Packets: 40
2025-12-26 20:24:03.765473 | BLOCKED 10.44.17.150 | Packets: 40
2025-12-26 20:24:06.604569 | BLOCKED 104.18.32.47 | Packets: 40
2025-12-28 18:14:38.542028 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:15:41.650884 | IP:23.206.197.114 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:15:53.811428 | IP:23.206.197.139 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:12.791373 | IP:23.206.197.136 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:14.103070 | IP:20.190.146.32 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:17.282560 | IP:20.42.72.131 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:28.872911 | IP:172.64.148.235 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:44.248291 | IP:142.250.202.238 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:45.836315 | IP:104.18.39.21 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:16:56.318166 | IP:23.206.197.120 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:17:04.121032 | IP:142.251.38.10 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:18:19.574750 | IP:150.171.28.12 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:18:23.518895 | IP:23.206.197.128 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:18:34.638697 | IP:57.144.149.32 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:18:50.339849 | IP:20.44.229.112 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
